frame,cls,r_mean,g_mean,b_mean,r_range,g_range,b_range,r_var,g_var,b_var,x_average,y_average,height,width,area,entropy,r_skewness,g_skewness,b_skewness,r_kurtosis,g_kurtosis,b_kurtosis,luminance,xmin,xmax,ymin,ymax
10821,0,137.9689208183664,120.56091604787528,111.89374298979172,255,255,249,4795.4562629398615,4499.572514158201,3494.2460320095165,185.24497985839844,470.0027465820313,337,209,70220.83167155832,3.74910148201228,-0.5013898036235698,-0.3057729608596644,-0.2094803445715223,-0.8470527619736528,-0.7970010948272241,-0.5632828896294573,123.63521388411682,80,289,301,638
10821,0,39.39170954831332,27.77867352773013,31.022870211549456,255,242,233,1230.8358718059403,955.3913233405988,1073.0734620877545,82.81080627441406,289.5472717285156,106,165,17613.247926611453,3.649264292321484,1.9725178595897424,2.1293756108506288,1.904103741792504,4.42944602436379,5.416511249426989,3.9586646702888526,30.480350263007438,0,165,236,342
10821,0,102.2248538011696,86.52280701754385,83.67777777777778,228,196,195,2535.4058735166486,2545.445386272702,2303.290324886295,1103.5740966796875,194.78732299804688,95,36,3511.6286301724613,5.05897025589018,0.4994338430525743,0.4757127960029955,0.4581219379531461,-0.9716511541250824,-1.0894868942059892,-1.038372537370324,89.65436535087719,1085,1121,147,242
10821,0,111.44103343465044,106.24559270516716,107.84741641337386,236,240,239,2302.2282858621124,2761.972510970893,3094.7110647536524,1067.95947265625,194.32159423828125,94,35,3363.6678037215024,5.249317365242654,0.7785682695080899,0.8516517003454552,0.9275180748642372,-0.1056854849597899,-0.0625416511578382,0.0870384339384848,107.46511534954406,1050,1085,147,241
10821,0,98.81621621621622,86.32496025437202,83.05659777424484,189,190,175,1740.5150311519849,1851.4810463020704,1581.820008138694,915.87646484375,202.74090576171875,85,37,3137.1229437133297,4.694083897288936,0.4623247376103483,0.4206753928692105,0.3454412424931924,-0.8563779767541235,-0.8690611954017036,-0.8856618972723247,88.74370321144674,897,934,160,245
10821,0,126.42468332762752,112.24837384457378,104.67887709688463,239,252,255,2833.6791100075734,3459.0353662361285,3300.8051306802363,719.5699462890625,266.72723388671875,127,46,5775.583057833836,4.908423483297849,0.4951994238545271,0.4625332298972064,0.3950042226274579,-0.6878000582167685,-0.8220466793652323,-0.8829938729517339,114.71507889421432,696,742,203,330
10821,0,143.889400921659,140.51086240947993,135.6550362080316,216,225,244,2769.9933636305827,2890.229803008708,2901.9804074871445,832.14599609375,254.4104156494141,124,49,6067.612310277298,4.590467861735435,-0.0608544824509615,-0.1682347259130827,-0.2737628278640035,-1.0446920969299838,-0.8158255827844934,-0.5996159716498557,140.87869677419357,807,856,192,316
10821,0,128.89770052507694,113.0684410646388,100.97634890458085,231,222,215,2664.388593300388,2542.6375845153416,1882.4619383625272,455.734375,747.1146850585938,263,168,44196.5261939764,3.8632999455908665,-0.420987069495181,-0.3648996517557816,-0.3766734000232625,-0.9878940846810872,-0.9589945840592762,-0.7386132791340172,115.56031885524172,371,539,615,878
10821,0,109.2900855654762,102.60221354166669,102.85425967261904,255,255,255,5185.409432953947,5481.002666230454,5306.250337137997,395.5672607421875,262.72607421875,96,224,21537.457261942327,4.671001918386848,0.5202329275953881,0.4595467358105624,0.3398717174352243,-0.7727288182056546,-0.7920054793008067,-0.9041903700666308,104.04155887276784,283,507,214,310
10821,0,66.99990215264188,58.88189823874755,62.54148727984344,250,247,247,2492.131604687246,2629.110807355616,2744.502486241968,210.3664093017578,274.3919982910156,70,146,10272.003925883677,4.54849733829514,1.1930286023556602,1.1166413873433736,0.9366537211366308,0.6434623641522772,0.3082405787631472,-0.1197219189764862,60.87083044031312,137,283,239,309
10821,1,139.22042146067878,119.7919790506825,115.31317580106396,255,255,246,3554.785708577894,3530.4879863044976,2545.115719423809,205.5,677.0,590,411,242490.0,3.4412739314058656,-0.4376637086227397,-0.286846872240057,-0.3189892130864112,-0.7007507605603922,-0.7995227699878784,-0.3288879641355495,123.59760134850924,0,411,382,972
10824,1,139.22042146067878,119.7919790506825,115.31317580106396,255,255,246,3554.785708577894,3530.4879863044976,2545.115719423809,205.5,677.0,590,411,242490.0,3.4412739314058656,-0.4376637086227397,-0.286846872240057,-0.3189892130864112,-0.7007507605603922,-0.7995227699878784,-0.3288879641355495,123.59760134850924,0,411,382,972
10824,0,41.70977272727273,26.19409090909091,29.115113636363635,237,217,214,1355.6741772210964,861.0043741734761,881.9143624870661,50.43358612060547,288.76715087890625,88,100,8846.523204779718,4.057677104126639,2.1405693069570493,2.6750404491303907,2.4142458142125096,4.9962774686510665,9.375461476707262,7.6032938758374815,29.701779034090908,0,100,244,332
10824,0,101.5435855263158,85.89226973684211,82.94654605263158,218,193,195,2627.6395476702887,2650.450291120219,2391.1120001316526,1102.630126953125,194.6942138671875,96,38,3678.264529304579,5.007443217602368,0.4860592078605293,0.4621946893870635,0.4391947042790172,-1.025974375504049,-1.1365478307633106,-1.0890177105475136,89.0057876644737,1083,1121,146,242
10824,0,108.47173252279636,103.161094224924,104.50759878419451,244,246,245,2251.9713893995795,2764.9369665838303,3083.7988784287,1066.068359375,194.7201232910156,94,35,3235.4175808560103,5.257754366586703,0.7771062445058635,0.8972541099634299,0.9865804950618228,-0.1749136552686296,0.0481225022316715,0.2524045920786806,104.38668784194527,1048,1083,147,241
10824,0,96.71273712737128,84.93766937669376,81.88380758807588,184,186,172,1578.226423131438,1679.1824292565386,1439.2957811662325,915.5950927734376,201.4899139404297,82,36,2971.705119440332,4.6007607875319225,0.5005912798749282,0.4803244165157814,0.3516494790382978,-0.7755021780745075,-0.6924191910078394,-0.7844488343719567,87.21968783875339,897,933,160,242
10824,0,130.54418604651164,116.35364341085273,108.0768992248062,243,255,255,3113.0899080584004,3927.597571996837,3710.537342323176,711.612548828125,270.7768249511719,129,50,6453.799365432002,4.875850051581175,0.4088082364072483,0.3705496198765108,0.2976432801074713,-0.8300597945545976,-0.9355419176221118,-0.9899572860439848,118.77238046511629,686,736,206,335
10824,0,140.16025937934228,136.76455148988728,132.29226493747106,224,236,244,2834.519013550139,2915.105440948259,2948.709856796866,829.33056640625,256.20947265625,127,51,6487.555656476878,4.720547401314268,0.0702439642311415,-0.024348943734689,-0.2097500937795045,-1.077116015766023,-0.8970416664629486,-0.670470631170045,137.16368755596727,803,854,192,319
10824,0,126.26681614349776,112.1608432984554,102.04963876432488,240,234,233,2786.4702266843315,2728.63920790896,2105.047797577477,472.5086364746094,710.8543701171875,223,144,32245.44568100944,3.908833830930621,-0.2768583625040192,-0.2624693448920621,-0.2786918570913874,-1.1241498345192606,-1.0836502309686644,-0.9030204303524592,114.4293446811161,400,544,599,822
10824,0,109.45917343308092,102.81721558251984,102.95757686342488,252,255,255,5120.450230828341,5423.90660445409,5246.20000668189,394.47845458984375,262.7636108398437,97,226,21758.122118449304,4.673950273923261,0.5141883742325423,0.4569559182444213,0.337120886725214,-0.7614293659370346,-0.7777955231998277,-0.8889461258571831,104.23875167411734,281,507,214,311
10824,0,66.09714100064977,58.82837881741391,62.16885964912281,241,242,242,2450.284585718239,2584.7974629987857,2712.77517387826,204.26580810546875,274.6166381835937,72,171,12215.663146547042,4.381674580933495,1.1340991059962615,1.0741292762813273,0.8997525020806088,0.4890857188973658,0.2110776728820593,-0.1784979943215781,60.613839449317744,118,289,238,310
